time_step,mean_g,std_g,mean_dic,std_dic
92,-7.517536069139896e-05,0.027002932117101242,5.6489,1.450527073170254
93,-8.622071987502616e-05,0.0270535451511873,5.6736,1.4506078174338162
94,-0.00010086739744774882,0.027059279933231692,5.6949,1.4550649435678344
95,-0.0001218793731149485,0.027111372142295316,5.7182,1.4577341184180435
96,-0.0001701942987183696,0.027135694760494527,5.7419,1.4587269758251344
97,-0.0001906006931343303,0.02714983974554285,5.7631,1.463413266989148
98,-0.00019341549591574882,0.02714709109133452,5.7861,1.466747009541859
99,-0.0002278286501739781,0.027164504232915523,5.8058,1.4706074799210855
100,-0.00019438971269306353,0.02719898873903743,5.8264,1.4733170195174579
101,-0.0001608078612031065,0.027242538090401572,5.8463,1.4769821630608455
102,-0.0001014029289473852,0.027314989992355203,5.8645,1.480452549053842
103,-6.215202672717303e-05,0.027337727908381137,5.8838,1.4841487661282544
104,-6.128967448596882e-05,0.027389855894528487,5.902,1.4890251844746827
105,-3.913798454074653e-05,0.027456540252483286,5.9218,1.491001260898243
106,-3.641899492525858e-05,0.02750709010487908,5.9421,1.4938365338951902
107,-2.4027515069450997e-05,0.027523454275357354,5.9621,1.49313883815271
108,2.955079400273325e-05,0.027591197548641252,5.9814,1.4963468982825918
109,8.809303324910361e-05,0.027670715310291708,6.0002,1.500333282974155
